 1.585   1066346
 1.280   1066347
 1.037   1066348
 0.793   1066349
 0.671   1066350
 0.610   1066351
 0.915   1066352
 1.037   1066353
 1.402   1066354
 2.012   1066355
 2.744   1066356
 3.110   1066357
 3.598   1066358
 4.207   1066359
 4.817   1066360
 5.854   1066362
 6.220   1066363
 6.463   1066364
 6.951   1066366
 6.890   1066367
 6.524   1066368
 6.280   1066369
 5.854   1066370
 5.366   1066371
 4.695   1066372
 4.085   1066373
 3.415   1066374
 2.927   1066375
 2.317   1066376
 1.646   1066377
 0.976   1066378
 0.366   1066379
 -0.183  1066380
 -0.854  1066381
 -1.463  1066382
 -1.951  1066383
 -2.256  1066384
 -2.500  1066385
 -2.561  1066386
 -2.378  1066387
 -2.012  1066388
 -1.341  1066389
 -0.671  1066390
 -0.183  1066391
 0.488   1066392
 1.037   1066393
 1.646   1066394
 1.829   1066395
 1.890   1066396
 1.890   1066398
 1.890   1066398
 1.829   1066399
 1.890   1066400
 1.646   1066402
 1.951   1066404
 1.951   1066405
 2.317   1066407
 2.317   1066407
 2.805   1066408
 3.171   1066409
 3.659   1066410
 4.085   1066411
 4.512   1066412
 5.122   1066413
 5.549   1066414
 6.037   1066415
 6.159   1066416
 6.524   1066417
 6.829   1066418
 7.012   1066419
 6.768   1066420
 6.585   1066421
 5.915   1066423
 5.427   1066424
 5.427   1066424
 5.061   1066425
 4.634   1066426
 4.329   1066427
 3.720   1066428
 3.171   1066429
 2.500   1066430
 1.890   1066431
 1.280   1066432
 0.366   1066433
 -0.427  1066434
 -1.159  1066435
 -1.585  1066436
 -2.195  1066437
 -2.500  1066438
 -2.683  1066439
 -2.622  1066440
 -1.585  1066442
 -0.366  1066444
 -0.366  1066444
 1.098   1066446
 1.098   1066446
 1.646   1066447
 2.012   1066448
 2.256   1066449
 2.378   1066450
 2.439   1066451
 2.195   1066452
 2.134   1066453
 1.707   1066454
 1.402   1066455
 0.915   1066456
 0.793   1066457
 0.610   1066458
 0.610   1066459
 0.610   1066460
 0.976   1066461
 1.341   1066462
 2.073   1066463
 2.561   1066464
 3.293   1066465
 3.841   1066466
 4.573   1066467
 5.122   1066468
 5.732   1066469
 6.220   1066470
 6.524   1066471
 6.951   1066472
 7.317   1066473
 7.439   1066474
 7.378   1066475
 7.378   1066476
 7.256   1066477
 7.012   1066478
 6.585   1066479
 6.341   1066480
 5.488   1066482
 5.000   1066483
 3.902   1066485
 2.500   1066487
 1.220   1066489
 1.220   1066489
 0.549   1066490
 0.061   1066491
 -0.305  1066492
 -0.610  1066493
 -0.732  1066494
 -0.610  1066495
 -0.427  1066496
 0.000   1066497
 0.305   1066498
 0.854   1066499
 1.098   1066500
 1.524   1066501
 1.524   1066502
 1.829   1066503
 1.768   1066504
 1.890   1066505
 1.524   1066506
 1.463   1066507
 1.098   1066508
 0.854   1066509
 0.366   1066510
 0.244   1066511
 0.183   1066512
 0.061   1066513
 0.000   1066514
 0.488   1066515
 0.793   1066516
 1.280   1066517
 1.951   1066518
 2.683   1066519
 3.171   1066520
 4.573   1066522
 5.549   1066524
 5.549   1066524
 5.610   1066526
 5.976   1066526
 5.976   1066527
 6.037   1066528
 5.793   1066529
 5.793   1066530
 5.488   1066531
 5.488   1066532
 5.183   1066533
 5.000   1066534
 4.573   1066535
 4.329   1066536
 3.963   1066537
 3.537   1066538
 2.988   1066539
 2.317   1066540
 1.646   1066541
 1.098   1066542
 0.488   1066543
 -0.122  1066544
 -0.427  1066545
